,PLAYER,GP,MIN,DIST.FEET,DIST.MILES,DIST.MILESOFF,DIST.MILESDEF,AVGSPEED,AVGSPEEDOFF,AVGSPEEDDEF,LESSTHAN5FT.FGM,LESSTHAN5FT.FGA,LESSTHAN5FT.FG%,5-9FT.FGM,5-9FT.FGA,5-9FT.FG%,10-14FT.FGM,10-14FT.FGA,10-14FT.FG%,15-19FT.FGM,15-19FT.FGA,15-19FT.FG%,20-24FT.FGM,20-24FT.FGA,20-24FT.FG%,25-29FT.FGM,25-29FT.FGA,25-29FT.FG%,UNNAMED:0,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,AGE,SCREENASSISTS,SCREENASSISTSPTS,DEFLECTIONS,OFFLOOSEBALLSRECOVERED,DEFLOOSEBALLSRECOVERED,LOOSEBALLSRECOVERED,%LOOSEBALLSRECOVEREDOFF,%LOOSEBALLSRECOVEREDDEF,CHARGESDRAWN,CONTESTED2PTSHOTS,CONTESTED3PTSHOTS,CONTESTEDSHOTS,TEAM,W,L,PASSESMADE,PASSESRECEIVED,SECONDARYAST,POTENTIALAST,ASTPTSCREATED.1,ASTADJ,ASTTOPASS%,ASTTOPASS%ADJ,TOTALMIN,Player,2020/21
0,Aaron Gordon,50,27.7,10476.6,1.98,1.1,0.89,4.06,4.4,3.71,1.3504614048377068,3.5,63.1,0.4,0.9,44.7,0.5006658847068661,1.1,45.5,0.3292258281004457,0.7,36.1,0.5006658847068661,1.4,34.8,0.7,2.2,33.0,136,12.4,4.6,10.0,46.3,0.939838020344789,3.5,33.5,1.9,3.0,65.1,1.0816215886726643,1.845066378733896,2.1291767636970027,1.9,0.6469709256709609,0.6469709256709609,1.8,26.1,3,1,1.2,25,0.5006658847068661,1.2,0.8327521493848248,0.4,0.2,0.5764916678553516,65.6,34.4,0.0,1.4467066010729381,0.989366712192221,3.8,DEN,29,21,3.7786772582831736,34.0,0.6,5.7,8.1,1.824316354710137,9.8,12.3,1385.0,Aaron Gordon,18136364
3,Abdel Nader,24,14.8,6038.0,1.14,0.62,0.53,4.41,4.75,4.1,1.4260346897694047,2.3,56.4,0.3,0.5,58.3,0.0,0.2,25.0,0.0,0.1,0.0,0.6795415285041667,0.8,44.4,0.4,1.0,40.0,302,6.7,2.4,4.8,49.1,1.0804299695849193,1.8,41.9,1.2,1.5,75.7,0.5479651707154474,1.8862503126489771,1.9912009082354765,0.8,0.6795415285041667,0.6795415285041667,1.4,12.5,0,0,1.2,27,0.0,0.1,1.0804299695849193,0.2,0.2,0.6795415285041667,44.4,55.6,0.0,1.7266201670570935,1.4260346897694047,3.2,PHX,16,8,3.1724072879597354,11.3,0.0,1.1,2.1,1.1597667118214403,8.4,9.7,355.20000000000005,Abdel Nader,1752950
4,Al Horford,28,27.9,10105.0,1.91,1.06,0.85,3.89,4.2,3.57,1.23884162997676,3.1,60.2,0.9,1.9,44.4,0.49783842823917956,1.0,50.0,0.49783842823917956,1.1,43.8,0.5733459807473248,1.7,34.0,1.5,4.0,36.9,101,14.2,5.8,12.9,45.0,1.275542996827188,5.4,36.8,0.6,0.8,81.8,0.8286926725561693,2.1228408572143915,2.26645636890554,1.0,0.7707054149058198,0.7707054149058198,1.7,31.7,1,0,-3.6,35,1.3451362886263831,5.0,0.9354606479818754,0.3,0.3,0.5733459807473248,50.0,50.0,0.0,2.292860543102051,1.23884162997676,8.8,OKC,11,17,3.925480433770475,39.7,0.1,5.2,8.6,1.7754989483562746,8.7,9.7,781.1999999999999,Al Horford,27500000
5,Al-Farouq Aminu,23,18.9,7510.7,1.42,0.79,0.64,4.34,4.76,3.91,0.9257694758286988,1.7,48.7,0.2,0.5,41.7,0.0,0.1,0.0,0.322773392263051,0.2,80.0,0.4519851237430572,0.7,46.7,0.1,1.1,12.0,395,4.4,1.7,4.3,38.4,0.4519851237430572,1.6,21.6,0.8,1.0,81.8,1.0663514264498883,2.1087691567743563,2.316769727986002,1.2,0.9257694758286988,0.5663954749208014,1.3,14.6,1,0,-2.3,30,0.8472978603872034,1.7,1.2992829841302609,0.3,0.3,0.7621400520468967,42.9,57.1,0.0,1.53018854077996,1.6094379124341003,4.0,CHI,5,18,3.835861644462582,13.8,0.2,3.0,3.5,1.444113932008717,5.7,7.1,434.7,Al-Farouq Aminu,9720900
6,Alec Burks,49,25.6,9750.9,1.85,0.98,0.87,4.09,4.23,3.95,0.8780695190539572,2.1,48.6,0.2,0.8,32.4,0.44628710262841953,1.1,37.7,0.44628710262841953,0.9,42.2,0.9348671174470905,2.6,42.4,1.1,2.7,41.0,130,12.7,4.3,10.2,42.0,1.3745064053678484,5.0,41.5,2.1,2.4,85.6,0.44628710262841953,1.9324267987180264,2.010727649131784,1.0,0.6118015411059929,0.3519764231571782,2.1,23.3,3,0,2.6,29,0.13157635778871926,0.1,1.0881409888008142,0.3,0.3,0.6118015411059929,50.0,50.0,0.0,1.443235737520029,1.5382104031457327,4.8,NYK,27,22,3.599450384131239,28.6,0.3,3.3,5.6,1.5382104031457327,8.6,10.3,1254.4,Alec Burks,6000000
8,Alex Caruso,58,21.0,8550.0,1.62,0.86,0.76,4.29,4.51,4.08,0.9332883082427261,1.6,58.7,0.2,0.5,37.0,0.294799540220645,0.4,36.0,0.1582240052148942,0.3,26.3,0.6190392084062235,1.4,36.6,0.4,1.0,43.1,315,6.4,2.3,5.3,43.6,0.9332883082427261,2.4,40.1,0.8,1.3,64.5,0.6190392084062235,1.6320377443513412,1.7869861904753974,1.3,1.0597724553518457,0.4149438520627081,1.9,16.8,0,0,2.1,27,0.4149438520627081,0.7,1.5626457509273415,0.2,0.4,0.7884573603642703,36.8,63.2,0.26,1.2729656758128873,1.3646328643387113,3.1,LAL,32,26,4.116478736389367,32.1,0.4,5.5,7.2,1.9459101490553132,7.8,9.9,1218.0,Alex Caruso,2750000
9,Alex Len,64,15.3,6114.8,1.16,0.61,0.55,4.31,4.71,3.94,1.8207470061013074,2.9,74.9,0.3,0.8,39.2,0.0,0.2,23.1,0.0,0.0,0.0,0.21130909366720696,0.3,33.3,0.0,0.1,28.6,307,6.6,2.7,4.3,61.5,0.21130909366720696,0.4,32.0,1.1,1.8,62.9,1.3411739258394209,2.026599060305456,2.3652836872096095,0.9,0.5340824859302579,1.209837923778334,2.0,15.7,2,0,-1.5,28,1.7414976344471669,4.7,1.1370785694959058,0.2,0.1,0.5340824859302579,61.1,38.9,0.0,2.7465164819300063,1.1370785694959058,7.2,WAS,30,34,3.642219372647874,11.8,0.1,1.4,2.2,1.209837923778334,4.9,6.1,979.2,Alex Len,3970648
10,Amir Coffey,44,9.0,3418.9,0.65,0.35,0.3,4.01,4.13,3.88,1.0986122886681098,0.8,58.6,0.0,0.3,12.5,0.3364722366212129,0.1,50.0,0.3364722366212129,0.2,33.3,0.9555114450274363,0.8,52.0,0.3,0.8,32.3,437,3.2,1.0,2.3,43.7,1.0986122886681098,1.3,41.1,0.6,0.9,71.1,0.5877866649021191,1.4350845252893227,1.6094379124341003,0.3,0.5877866649021191,0.0,0.7,5.5,0,0,-0.6,24,0.3364722366212129,0.2,0.9555114450274363,0.1,0.1,0.5877866649021191,50.0,50.0,0.0,1.2237754316221157,1.2237754316221157,1.3,LAC,32,12,3.407841924380824,8.0,0.0,1.2,1.4,1.2237754316221157,6.9,8.7,396.0,Amir Coffey,578842
11,Andre Drummond,46,27.0,9821.8,1.86,0.96,0.9,3.89,3.98,3.79,2.03688192726104,9.3,53.3,1.1,2.5,43.6,0.125163142954006,0.3,20.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,90,14.9,6.1,12.4,49.3,0.0,0.2,0.0,2.7,4.5,60.0,1.7578579175523736,2.501435951739211,2.833213344056216,2.7,1.0531499145913523,0.9028677115420144,3.2,37.0,28,0,-2.3,27,1.5546296759391054,6.2,1.5546296759391054,0.6,0.4,0.9028677115420144,59.2,40.8,0.09,2.295896104843249,1.3694872428035094,8.8,LAL,19,27,3.8586222287010306,28.1,0.3,3.4,4.9,1.466337068793427,5.9,7.1,1242.0,Andre Drummond,28751774
12,Andre Iguodala,63,21.3,8312.4,1.57,0.83,0.74,4.13,4.41,3.85,0.5164436160702139,0.7,62.8,0.0,0.1,50.0,0.0,0.1,25.0,0.0,0.1,25.0,0.7001647532185918,1.8,34.8,0.4,1.1,33.8,397,4.4,1.5,3.9,38.3,0.9895935510053144,2.9,33.0,0.4,0.6,65.8,0.7001647532185918,1.7751910428808222,1.9337642507532051,1.1,0.9247059287994395,0.7001647532185918,1.4,15.3,0,0,-1.3,37,0.41014895742059077,0.7,1.309474155136449,0.2,0.4,0.6125174461598362,32.4,67.6,0.06,1.2627730620904685,1.5149724461813412,3.6,MIA,37,26,3.9223916004909674,21.8,0.1,4.7,6.3,1.7461333084012793,7.7,9.6,1341.9,Andre Iguodala,15000000
